date,equity,capital,open_positions
2025-01-24,99910201.0,63990601.0,2
2025-01-30,100159578.5,51596578.5,3
2025-01-31,100932178.5,37138178.5,5
2025-02-03,100687178.5,37138178.5,5
2025-02-04,100965849.75,40559849.75,5
2025-02-05,100291706.25,49281706.25,4
2025-02-06,99438878.75,57372878.75,3
2025-02-07,98761968.0,56812468.0,3
2025-02-10,98553751.75,37298251.75,5
2025-02-11,97724942.75,50668942.75,4
2025-02-12,98954242.5,56126342.5,3
2025-02-13,99015764.0,81972964.0,1
2025-02-14,98600890.0,98600890.0,0
2025-02-17,98512636.25,63211136.25,2
2025-02-18,98803188.25,40575488.25,4
2025-02-19,98229975.75,32590575.75,5
2025-02-20,97614351.5,34015851.5,5
2025-02-21,97867849.5,43595349.5,5
2025-02-24,96333792.5,60824792.5,3
2025-02-25,95345985.25,48222585.25,4
2025-02-26,95450163.0,37017663.0,5
2025-02-27,94518394.0,71678394.0,2
2025-02-28,93841248.0,93841248.0,0
2025-03-03,93756895.5,60015895.5,2
2025-03-04,93597965.5,48013965.5,3
2025-03-05,93483997.5,38402797.5,4
2025-03-06,92802665.75,39916965.75,4
2025-03-07,92584545.75,32009245.75,5
2025-03-10,91434613.25,40534613.25,4
2025-03-11,89896247.25,71920247.25,1
2025-03-12,89917844.75,37673844.75,4
2025-03-13,89365619.0,46464119.0,3
2025-03-14,88697694.0,30669194.0,5
2025-03-17,88941694.0,30669194.0,5
2025-03-18,86421862.0,63431862.0,2
2025-03-19,86685638.25,32465138.25,5
2025-03-20,86537609.0,36351609.0,5
2025-03-21,85868831.25,51125831.25,3
2025-03-24,85094153.25,42251153.25,4
2025-03-25,84265374.5,52337374.5,3
2025-03-26,84676668.0,51747168.0,3
2025-03-27,85012038.0,33368638.0,5
2025-04-08,83018402.5,83018402.5,0
2025-04-09,82918418.5,42924818.5,3
2025-04-10,83152297.75,83152297.75,0
2025-04-11,83152297.75,83152297.75,0
2025-04-14,83077530.75,53170730.75,2
2025-04-15,83433505.0,42780405.0,3
2025-04-16,81874495.5,57192495.5,2
2025-04-17,82197760.25,45970260.25,3
2025-04-21,81624882.75,36005382.75,4
2025-04-22,81708622.75,30450622.75,5
2025-04-23,82420390.0,30783890.0,5
2025-04-24,81544736.75,39569236.75,4
2025-04-25,81709886.75,31809886.75,5
2025-04-28,81244886.75,31809886.75,5
2025-04-29,81754386.75,31809886.75,5
2025-04-30,82297099.5,30296399.5,5
2025-05-02,82948351.75,53392951.75,3
2025-05-05,83359165.75,34578165.75,5
2025-05-06,83625465.75,34578165.75,5
2025-05-07,83523441.75,34728441.75,5
2025-05-08,82855994.25,35615394.25,5
2025-05-09,81930674.25,34382474.25,5
2025-05-14,82270440.75,36182040.75,5
2025-05-15,81970605.75,33660605.75,5
2025-05-16,82233781.25,35719581.25,5
2025-05-19,82556581.75,35995181.75,5
2025-05-20,82713676.25,37168176.25,5
2025-05-21,82264468.0,29668968.0,5
2025-05-22,83326727.5,30900827.5,5
2025-05-23,83038927.5,30900827.5,5
2025-05-26,82883384.5,33708884.5,5
2025-05-27,83066384.5,33708884.5,5
2025-05-28,83149384.5,33708884.5,5
2025-06-02,82336683.5,34918683.5,5
2025-06-03,82145683.5,34918683.5,5
2025-06-04,82732982.5,35142982.5,5
2025-06-05,83214128.75,35245128.75,5
2025-06-10,83818015.0,32598215.0,5
2025-06-11,84510266.5,32401666.5,5
2025-06-12,84037166.5,32401666.5,5
2025-06-13,83362158.25,33931158.25,5
2025-06-16,83196672.75,38119572.75,5
2025-06-17,82919464.5,37811364.5,5
2025-06-18,82926065.75,39963565.75,5
2025-06-19,82003933.75,39663933.75,5
2025-06-20,81983712.75,37997712.75,5
2025-06-23,80759690.0,64620190.0,1
2025-06-24,80224158.0,41349358.0,3
2025-06-25,79529981.0,45366681.0,3
2025-06-26,80024189.0,58650189.0,2
2025-06-30,80315503.25,70215503.25,1
2025-07-01,80078868.25,36076368.25,4
2025-07-02,79262041.0,43670041.0,3
2025-07-03,79291806.0,27936806.0,5
2025-07-04,79303806.0,27936806.0,5
2025-07-07,79542740.5,28137740.5,5
2025-07-08,79154740.5,28137740.5,5
2025-07-09,79371740.5,28137740.5,5
2025-07-10,79877447.5,28531447.5,5
2025-07-11,79732447.5,28531447.5,5
2025-07-14,79566926.5,29510926.5,5
2025-07-15,80074659.75,32741559.75,5
2025-07-16,80495076.25,29876376.25,5
2025-07-17,80930997.5,32639997.5,5
2025-07-18,80511348.5,33979848.5,5
2025-07-21,80501348.5,33979848.5,5
2025-07-22,80183688.5,36763188.5,5
2025-07-23,80574752.5,35775752.5,5
2025-07-24,81269465.25,34909965.25,5
2025-07-25,80975197.5,34261697.5,5
2025-07-28,81268388.25,35180888.25,5
2025-07-29,81186888.25,35180888.25,5
2025-07-30,80421938.0,64327938.0,2
2025-07-31,80010114.25,41099614.25,3
2025-08-01,80573029.25,57492529.25,2
2025-08-04,80638621.75,36878121.75,4
2025-08-05,80474584.25,28083084.25,5
2025-08-06,81550912.0,33805112.0,5
2025-08-07,81622812.0,33805112.0,5
2025-08-08,82078379.25,34972379.25,5
2025-08-11,82120360.25,41620360.25,4
2025-08-12,82111403.75,45656603.75,3
2025-08-13,81431504.25,45393504.25,3
2025-08-14,82087439.25,29126939.25,5
2025-08-15,81668265.5,35191265.5,5
2025-08-19,82301133.0,35999633.0,5
2025-08-20,82519515.5,35314415.5,5
2025-08-21,82242004.25,34341304.25,5
2025-08-22,82320628.5,54441228.5,3
2025-08-25,82564873.5,34810273.5,5
2025-08-26,81471162.25,34512362.25,5
2025-08-27,81269093.0,34711193.0,5
2025-08-28,81219894.25,34801294.25,5
2025-08-29,80271432.75,29874232.75,5
2025-09-01,79478690.75,29853490.75,5
2025-09-02,79812956.25,30089956.25,5
2025-09-03,80241056.25,30089956.25,5
2025-09-04,80609863.0,44102663.0,3
2025-09-08,79105302.25,26893802.25,5
2025-09-09,79383465.0,40806465.0,3
2025-09-10,79163451.75,68861451.75,1
2025-09-11,79063301.75,28701301.75,5
2025-09-12,79785934.75,30241434.75,5
2025-09-15,80068766.25,35304766.25,5
2025-09-16,79777502.75,34973702.75,5
2025-09-17,80257172.0,35252172.0,5
2025-09-18,80013172.0,35252172.0,5
2025-09-19,80042554.0,34719054.0,5
2025-09-22,79832554.0,34719054.0,5
2025-09-23,79925954.0,34719054.0,5
2025-09-24,80029381.0,36180381.0,5
2025-09-25,79997881.0,36180381.0,5
2025-09-26,80219668.25,36179168.25,5
2025-09-29,80726415.75,36405415.75,5
2025-09-30,80253415.75,36405415.75,5
2025-10-01,79855915.75,36405415.75,5
2025-10-02,79776415.75,36405415.75,5
2025-10-03,79617081.25,54015081.25,3
2025-10-06,79128872.5,73848872.5,1
2025-10-07,78902406.25,51051906.25,2
2025-10-08,79214946.5,35309446.5,4
2025-10-09,79158612.75,28473312.75,5
2025-10-10,79607992.75,31783992.75,5
2025-10-13,79770300.5,31388300.5,5
2025-10-14,79059300.5,31388300.5,5
2025-10-15,78349247.5,32845247.5,5
2025-10-16,78300955.0,50318455.0,3
2025-10-17,78004507.0,57759007.0,2
2025-10-20,78338692.0,29963692.0,5
2025-10-21,78881333.0,50894833.0,3
2025-10-22,78875867.5,26751467.5,5
2025-10-23,79113503.5,27104603.5,5
2025-10-24,78645140.75,34840940.75,4
2025-10-27,77825796.25,30989196.25,5
2025-10-28,77631404.75,28607404.75,5
2025-10-29,77523759.75,31738759.75,5
2025-10-30,77228998.25,35639598.25,5
2025-10-31,76678198.25,35639598.25,5
2025-11-03,77080200.75,35527500.75,5
2025-11-04,76751500.75,35527500.75,5
2025-11-05,76611900.75,35527500.75,5
2025-11-06,76563600.75,35527500.75,5
2025-11-07,77091900.75,35527500.75,5
2025-11-10,76696100.75,35527500.75,5
2025-11-11,76669455.25,35190055.25,5
2025-11-12,76884055.25,35190055.25,5
2025-11-13,76806210.25,35407510.25,5
2025-11-14,77032044.25,35721544.25,5
2025-11-17,77045444.25,35721544.25,5
2025-11-18,76613277.5,44047377.5,4
2025-11-19,76927434.25,43222534.25,4
2025-11-20,77012954.25,34568954.25,5
2025-11-21,77003754.5,42617254.5,4
2025-11-24,77501292.5,33353792.5,5
2025-11-25,77551030.0,36943530.0,5
2025-11-26,77488428.5,34003528.5,5
2025-11-27,77295628.5,34003528.5,5
2025-11-28,77192611.5,34385111.5,5
2025-12-01,76929261.75,32881261.75,5
2025-12-02,77415093.75,33167593.75,5
2025-12-03,77040907.0,34619407.0,5
2025-12-04,77213572.5,35106372.5,4
2025-12-05,76697114.0,57034814.0,2
2025-12-08,76629190.25,29797390.25,5
2025-12-09,75670397.5,31950297.5,5
2025-12-10,75361525.75,33939525.75,5
2025-12-11,75529323.25,30399623.25,5
2025-12-12,74980975.25,30116175.25,5
2025-12-15,74830730.0,39262230.0,4
2025-12-16,74807225.0,31440725.0,5
2025-12-17,74759325.75,31490825.75,5
2025-12-18,74105518.25,31120018.25,5
2025-12-19,74028557.75,32253057.75,5
2025-12-22,74258926.0,32206926.0,5
2025-12-23,74378426.0,32206926.0,5
2025-12-24,73883088.0,39078588.0,4
2025-12-29,74120580.5,31256080.5,5
2025-12-30,74228359.0,30549159.0,5
2026-01-02,74595103.5,38583103.5,4
2026-01-05,74593164.25,37207164.25,4
2026-01-06,74172471.25,28222171.25,5
2026-01-07,73229193.0,26332693.0,5
2026-01-08,73565591.25,31557591.25,5
2026-01-09,73392570.5,31867070.5,5
2026-01-12,73424294.75,31882294.75,5
2026-01-13,73955763.0,29623863.0,5
2026-01-14,74608538.0,30090538.0,5
2026-01-15,75678731.75,28802731.75,5
2026-01-19,76112131.0,39288631.0,4
2026-01-20,75796829.0,29480229.0,5
2026-01-21,75423956.25,28037956.25,5
2026-01-22,75985803.5,30483303.5,5
2026-01-23,75650988.0,29704488.0,5
2026-01-26,75112175.0,29860175.0,5
2026-01-27,74021641.5,29524441.5,5
2026-01-28,72714364.0,65864364.0,1
2026-01-29,72148550.25,46188050.25,2
2026-01-30,71416148.25,57241148.25,1
2026-02-02,71057520.75,71057520.75,0
2026-02-03,71022083.25,56847083.25,1
2026-02-04,70421063.25,70421063.25,0
2026-02-05,70421063.25,70421063.25,0
2026-02-06,70421063.25,70421063.25,0
2026-02-09,70421063.25,70421063.25,0
2026-02-10,70318666.25,29359866.25,4
2026-02-11,69881852.25,23394352.25,5
2026-02-12,70294050.0,34071950.0,4
2026-02-13,69619230.0,30252830.0,5
