Date,StockCode,StockName,EntrySignal,SignalStrength,EntryPrice,StopLoss,Target1,Target2,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2025-10-22,CPIN,Charoen Pokphand Indonesia Tbk,BUY - RISKY BOUNCE,70,5175.0,4916.0,5304.0,5382.0,WIN,5382.0,4.0,TARGET2,1.0,Unknown
2025-10-22,DSNG,Dharma Satya Nusantara Tbk.,BUY - RISKY BOUNCE,70,1950.0,1852.0,1999.0,2028.0,LOSS,1852.0,-5.0256410256410255,STOP_LOSS,1.0,Unknown
2025-10-22,JPFA,Japfa Comfeed Indonesia Tbk.,BUY - RISKY BOUNCE,68,2540.0,2413.0,2604.0,2642.0,LOSS,2413.0,-5.0,STOP_LOSS,1.0,Unknown
2025-10-23,AMMN,Amman Mineral Internasional Tbk.,BUY - RISKY BOUNCE,70,7800.0,7410.0,7995.0,8112.0,NO_DATA,7800.0,0.0,NO_NEXT_DAY,1.0,Unknown
2025-10-23,EXCL,XLSMART Telecom Sejahtera Tbk.,BUY - RISKY BOUNCE,70,2610.0,2480.0,2675.0,2714.0,LOSS,2480.0,-4.980842911877394,STOP_LOSS,1.0,Unknown
2025-10-23,PGAS,Perusahaan Gas Negara Tbk.,BUY - RISKY BOUNCE,70,1770.0,1682.0,1814.0,1841.0,LOSS,1682.0,-4.971751412429379,STOP_LOSS,1.0,Unknown
2025-10-23,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - RISKY BOUNCE,69,3360.0,3192.0,3444.0,3494.0,WIN,3494.0,3.9880952380952377,TARGET2,1.0,Unknown
2025-10-24,AKRA,AKR Corporindo Tbk.,BUY - RISKY BOUNCE,66,1210.0,1150.0,1240.0,1258.0,WIN,1258.0,3.9669421487603307,TARGET2,1.0,Unknown
2025-10-29,BRMS,Bumi Resources Minerals Tbk.,BUY - BREAKOUT,100,930.0,914.0,942.0,953.0,LOSS,914.0,-1.7204301075268817,STOP_LOSS,2.571611831647302,Trending Up
2025-10-31,BANK,Bank Aladin Syariah Tbk.,BUY - RISKY BOUNCE,70,940.0,893.0,963.0,978.0,WIN,978.0,4.042553191489362,TARGET2,0.6375294161053477,Trending Up
2025-10-31,BRMS,Bumi Resources Minerals Tbk.,BUY - BREAKOUT,92,920.0,905.0,931.0,942.0,LOSS,905.0,-1.6304347826086956,STOP_LOSS,2.1032637393220153,Sideways
2025-10-31,CMRY,Cisarua Mountain Dairy Tbk.,BUY - BREAKOUT,98,5675.0,5402.0,5880.0,6084.0,LOSS,5402.0,-4.81057268722467,STOP_LOSS,6.519126349826124,Trending Up
2025-11-03,BULL,Buana Lintas Lautan Tbk.,BUY - BREAKOUT,76,224.0,214.0,231.0,239.0,LOSS,214.0,-4.464285714285714,STOP_LOSS,1.475758495162773,Trending Up
2025-11-03,MYOR,Mayora Indah Tbk.,BUY - MOMENTUM,83,2180.0,2093.0,2245.0,2289.0,WIN,2289.0,5.0,TARGET2,2.105933820322721,Trending Up
2025-11-03,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - MOMENTUM,86,3350.0,3216.0,3450.0,3518.0,WIN,3518.0,5.014925373134329,TARGET2,1.807809555762192,Trending Up
2025-11-04,MAPA,Map Aktif Adiperkasa Tbk.,BUY - MOMENTUM,90,765.0,734.0,788.0,803.0,WIN,803.0,4.967320261437909,TARGET2,38.55149702029068,Trending Up
2025-11-04,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - MOMENTUM,98,3500.0,3360.0,3605.0,3675.0,WIN,3675.0,5.0,TARGET2,3.4786775937157453,Trending Up
2025-11-05,CMRY,Cisarua Mountain Dairy Tbk.,BUY - BREAKOUT,99,6000.0,5604.0,6297.0,6594.0,LOSS,5604.0,-6.6000000000000005,STOP_LOSS,4.1586807502603484,Sideways
2025-11-05,MAPI,Mitra Adiperkasa Tbk.,BUY - MOMENTUM,100,1410.0,1354.0,1452.0,1480.0,WIN,1480.0,4.964539007092199,TARGET2,3.568714950715631,Trending Up
2025-11-06,APIC,Pacific Strategic Financial Tbk.,BUY - BREAKOUT,63,1145.0,1121.0,1163.0,1181.0,LOSS,1135.0,-0.8733624454148471,CLOSE,1.6659174356143258,Trending Up
2025-11-06,ASII,Astra International Tbk.,BUY - BREAKOUT,70,6325.0,6096.0,6496.0,6668.0,LOSS,6096.0,-3.6205533596837944,STOP_LOSS,1.645819702546019,Trending Up
2025-11-06,SILO,Siloam International Hospitals Tbk.,BUY - BREAKOUT,100,2300.0,2203.0,2373.0,2446.0,LOSS,2203.0,-4.217391304347826,STOP_LOSS,6.567871033199933,Sideways
2025-11-07,SILO,Siloam International Hospitals Tbk.,BUY - BREAKOUT,96,2340.0,2240.0,2415.0,2490.0,LOSS,2240.0,-4.273504273504273,STOP_LOSS,4.539242058625737,Sideways
2025-11-11,ISAT,Indosat Tbk.,BUY - MOMENTUM,100,2220.0,2131.0,2287.0,2331.0,WIN,2331.0,5.0,TARGET2,8.075621286169264,Sideways
2025-11-17,BFIN,BFI Finance  Indonesia Tbk.,BUY - MOMENTUM,79,775.0,744.0,798.0,814.0,WIN,814.0,5.032258064516129,TARGET2,1.632622126817709,Trending Up
2025-11-18,APIC,Pacific Strategic Financial Tbk.,BUY - BREAKOUT,48,1130.0,1104.0,1149.0,1169.0,WIN,1149.0,1.6814159292035398,TARGET1,1.499941019188424,Sideways
2025-11-19,APIC,Pacific Strategic Financial Tbk.,BUY - BREAKOUT,70,1170.0,1140.0,1192.0,1215.0,LOSS,1165.0,-0.4273504273504274,CLOSE,1.4283661279452382,Sideways
2025-11-19,SMGR,Semen Indonesia (Persero) Tbk.,BUY - RISKY BOUNCE,70,2710.0,2574.0,2778.0,2818.0,WIN,2818.0,3.985239852398524,TARGET2,1.769910681722291,Trending Down
2025-11-20,CMRY,Cisarua Mountain Dairy Tbk.,BUY - BREAKOUT,75,6225.0,5928.0,6448.0,6671.0,LOSS,5928.0,-4.771084337349397,STOP_LOSS,1.569426920778272,Sideways
2025-11-24,AMRT,Sumber Alfaria Trijaya Tbk.,BUY - MOMENTUM,91,1870.0,1795.0,1926.0,1964.0,WIN,1964.0,5.026737967914439,TARGET2,8.379791599832942,Trending Up
2025-11-24,AVIA,Avia Avian Tbk.,BUY - MOMENTUM,100,466.0,447.0,480.0,489.0,WIN,489.0,4.935622317596566,TARGET2,7.532630211879051,Sideways
2025-11-24,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - MOMENTUM,100,3700.0,3552.0,3811.0,3885.0,WIN,3885.0,5.0,TARGET2,3.219959567692661,Trending Up
2025-11-25,CARE,Metro Healthcare Indonesia Tbk.,BUY - RISKY BOUNCE,70,384.0,365.0,394.0,399.0,WIN,399.0,3.90625,TARGET2,0.5341296870036311,Trending Up
2025-11-25,IMPC,Impack Pratama Industri Tbk.,BUY - RISKY BOUNCE,70,3180.0,3021.0,3259.0,3307.0,WIN,3259.0,2.4842767295597485,TARGET1,54.333943610399125,Trending Down
2025-12-02,ASII,Astra International Tbk.,BUY - BREAKOUT,76,6625.0,6389.0,6802.0,6979.0,LOSS,6389.0,-3.5622641509433963,STOP_LOSS,1.3337943255978406,Trending Up
2025-12-03,PGAS,Perusahaan Gas Negara Tbk.,BUY - BREAKOUT,74,1870.0,1779.0,1939.0,2007.0,LOSS,1779.0,-4.866310160427807,STOP_LOSS,1.2335198900207534,Sideways
2025-12-03,RMKE,RMK Energy Tbk.,BUY - BREAKOUT,99,4100.0,4060.0,4130.0,4160.0,LOSS,4060.0,-0.975609756097561,STOP_LOSS,11.377397654408943,Trending Up
2025-12-04,CARE,Metro Healthcare Indonesia Tbk.,BUY - RISKY BOUNCE,69,422.0,401.0,433.0,439.0,WIN,439.0,4.028436018957346,TARGET2,0.5367112719478536,Trending Up
2025-12-04,IMPC,Impack Pratama Industri Tbk.,BUY - BREAKOUT,93,3440.0,3260.0,3575.0,3710.0,LOSS,3430.0,-0.29069767441860467,CLOSE,50.30529812187321,Trending Up
2025-12-05,IMPC,Impack Pratama Industri Tbk.,BUY - BREAKOUT,100,3790.0,3624.0,3914.0,4039.0,LOSS,3624.0,-4.379947229551451,STOP_LOSS,60.6565927518802,Trending Up
2025-12-05,INDF,Indofood Sukses Makmur Tbk.,BUY - BREAKOUT,61,7100.0,6843.0,7293.0,7486.0,LOSS,6843.0,-3.6197183098591554,STOP_LOSS,1.2558406290531776,Trending Up
2025-12-05,PTRO,Petrosea Tbk.,BUY - BREAKOUT,98,10750.0,10369.0,11036.0,11322.0,LOSS,10369.0,-3.5441860465116277,STOP_LOSS,29.220456887667467,Trending Up
2025-12-05,SMGR,Semen Indonesia (Persero) Tbk.,BUY - MOMENTUM,99,2910.0,2794.0,2997.0,3056.0,WIN,3056.0,5.017182130584192,TARGET2,3.1114128503797884,Trending Up
2025-12-08,CMRY,Cisarua Mountain Dairy Tbk.,BUY - BREAKOUT,71,5850.0,5581.0,6051.0,6253.0,LOSS,5581.0,-4.598290598290598,STOP_LOSS,1.249100970459285,Trending Up
2025-12-08,ENRG,Energi Mega Persada Tbk.,BUY - BREAKOUT,100,1430.0,1403.0,1451.0,1471.0,LOSS,1403.0,-1.8881118881118881,STOP_LOSS,3.5417181527326504,Trending Up
2025-12-08,INKP,Indah Kiat Pulp & Paper Tbk.,BUY - BREAKOUT,96,8800.0,8407.0,9095.0,9389.0,LOSS,8407.0,-4.465909090909091,STOP_LOSS,3.7601441132253113,Trending Up
2025-12-11,RMKE,RMK Energy Tbk.,BUY - BREAKOUT,94,4380.0,4313.0,4430.0,4481.0,LOSS,4313.0,-1.5296803652968036,STOP_LOSS,4.596783707496963,Trending Up
2025-12-12,ENRG,Energi Mega Persada Tbk.,BUY - BREAKOUT,84,1600.0,1572.0,1621.0,1642.0,LOSS,1572.0,-1.7500000000000002,STOP_LOSS,1.7268591303056988,Sideways
2025-12-12,MDKA,Merdeka Copper Gold Tbk.,BUY - MOMENTUM,75,2250.0,2160.0,2318.0,2362.0,WIN,2362.0,4.977777777777778,TARGET2,1.6519481670712282,Trending Up
2025-12-12,RMKE,RMK Energy Tbk.,BUY - BREAKOUT,89,4450.0,4379.0,4504.0,4557.0,LOSS,4379.0,-1.595505617977528,STOP_LOSS,3.4493478567782714,Trending Up
2025-12-15,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,BUY - MOMENTUM,100,3780.0,3629.0,3893.0,3969.0,WIN,3969.0,5.0,TARGET2,3.1720594675639244,Trending Up
2025-12-15,ICBP,Indofood CBP Sukses Makmur Tbk.,BUY - MOMENTUM,97,8300.0,7968.0,8549.0,8715.0,WIN,8715.0,5.0,TARGET2,3.837366066275112,Trending Up
2025-12-15,KLBF,Kalbe Farma Tbk.,BUY - RISKY BOUNCE,70,1220.0,1159.0,1250.0,1269.0,WIN,1269.0,4.016393442622951,TARGET2,5.5203930187914585,Trending Down
2025-12-16,CUAN,Petrindo Jaya Kreasi Tbk.,BUY - BREAKOUT,74,2420.0,2263.0,2538.0,2656.0,LOSS,2263.0,-6.4876033057851235,STOP_LOSS,1.2476111430986536,Trending Up
2025-12-16,UNVR,Unilever Indonesia Tbk.,BUY - RISKY BOUNCE,70,2710.0,2574.0,2778.0,2818.0,WIN,2818.0,3.985239852398524,TARGET2,4.114400750986403,Trending Down
2025-12-17,ENRG,Energi Mega Persada Tbk.,BUY - BREAKOUT,86,1510.0,1488.0,1527.0,1543.0,LOSS,1488.0,-1.456953642384106,STOP_LOSS,1.9364822338113028,Sideways
2025-12-19,ICBP,Indofood CBP Sukses Makmur Tbk.,BUY - MOMENTUM,91,8425.0,8088.0,8678.0,8846.0,WIN,8846.0,4.997032640949555,TARGET2,3.7064296671780164,Trending Up
2025-12-19,MIDI,Midi Utama Indonesia Tbk.,BUY - BREAKOUT,84,378.0,356.0,395.0,411.0,LOSS,356.0,-5.82010582010582,STOP_LOSS,1.7693407148964855,Sideways
2025-12-22,INCO,Vale Indonesia Tbk.,BUY - MOMENTUM,100,4440.0,4262.0,4573.0,4662.0,WIN,4662.0,5.0,TARGET2,4.9661514852126585,Sideways
2025-12-23,IMPC,Impack Pratama Industri Tbk.,BUY - BREAKOUT,100,3940.0,3734.0,4094.0,4249.0,LOSS,3734.0,-5.228426395939087,STOP_LOSS,18.208954064734233,Trending Up
2025-12-29,BRPT,Barito Pacific Tbk.,BUY - BREAKOUT,81,3280.0,3237.0,3312.0,3344.0,LOSS,3237.0,-1.3109756097560976,STOP_LOSS,1.597516600898941,Trending Up
2025-12-29,ENRG,Energi Mega Persada Tbk.,BUY - BREAKOUT,85,1530.0,1509.0,1546.0,1562.0,LOSS,1509.0,-1.3725490196078431,STOP_LOSS,1.9613852593295924,Sideways
2025-12-30,BBNI,Bank Negara Indonesia (Persero) Tbk.,BUY - MOMENTUM,79,4370.0,4195.0,4501.0,4588.0,WIN,4588.0,4.9885583524027455,TARGET2,1.6959104817390942,Trending Up
2026-01-02,PNLF,Panin Financial Tbk.,BUY - RISKY BOUNCE,68,278.0,264.0,285.0,289.0,WIN,289.0,3.9568345323741005,TARGET2,5.7724041519169615,Trending Down
2026-01-05,ANTM,Aneka Tambang Tbk.,BUY - BREAKOUT,100,3390.0,3281.0,3471.0,3553.0,LOSS,3281.0,-3.215339233038348,STOP_LOSS,4.240852828462446,Sideways
2026-01-05,BANK,Bank Aladin Syariah Tbk.,BUY - RISKY BOUNCE,67,1080.0,1026.0,1107.0,1123.0,WIN,1123.0,3.981481481481482,TARGET2,0.7133976806054984,Trending Down
2026-01-06,MDKA,Merdeka Copper Gold Tbk.,BUY - RISKY BOUNCE,70,2700.0,2565.0,2767.0,2808.0,WIN,2808.0,4.0,TARGET2,3.9089922743082273,Trending Down
2026-01-06,SSIA,Surya Semesta Internusa Tbk.,BUY - BREAKOUT,96,1830.0,1776.0,1870.0,1911.0,LOSS,1776.0,-2.9508196721311477,STOP_LOSS,5.105165639604616,Trending Up
